,Utterance,Label
3432,Did you confirm this thing with Prema ji?,non-humor
3433,No.,humor
3434,Oh my god!,humor
3435,My phone…,non-humor
3436,Hello.,non-humor
3437,Prema ji do you know Heeralal Motilal Productions?,non-humor
3438,Hiralal Motilal Productions!,non-humor
3439,Keshu ji I have been in the film industry for so many years.,non-humor
3440,I never heard the name of this production.,humor
3441,Yes I am sure I am not doing any film with this production.,humor
3442,Bye.,non-humor
3443,Oh my god!,humor
3444,"Gokhale, Koki's life is in danger. Gokhale",humor
3445,And your respect.,humor
3446,I will not spare Heeralal. Good god!,humor
3447,Let's go.,humor
3448,Excuse me.,non-humor
3449,You excuse me.,humor
3450,You have also been called for shooting madam?,non-humor
3451,Yes.,non-humor
3452,Oh no! Don't go inside.,non-humor
3453,Why?,non-humor
3454,There is a lot of trouble in the office.,non-humor
3455,What trouble?,non-humor
3456,These people are scoundrels.,non-humor
3457,They call girls under the pretense of making the heroines.,non-humor
3458,And then they…,non-humor
3459,I know why you two do not want me to go inside.,non-humor
3460,Why?,non-humor
3461,Because you two did not get the role of the heroine.,non-humor
3462,And I got it. You are both jealous of me.,non-humor
3463,"You're a water hag, and I'm a mermaid.",humor
3464,Madam madam… madam please don't go inside.,non-humor
3465,Call him at 5 o'clock.,non-humor
3466,"Hey the one who has come to be a Madhuri Dixit, right",non-humor
3467,Let's wrap her up by three - three thirty.,non-humor
3468,Yes right?,non-humor
3469,She has not come yet.,non-humor
3470,May I come in?,humor
3471,Hi.,non-humor
3472,"Hello, hello, Bhanu Priya ji",non-humor
3473,Madhu Priya.,humor
3474,Oh sorry…,non-humor
3475,"This bag has clothes and jewellery, everything.",non-humor
3476,Very good. Nice nice…,non-humor
3477,So shall we go to the Maikhana bungalow?,non-humor
3478,"No no, actually we'll do the rehearsal here only.",non-humor
3479,We'll do the take there.,humor
3480,"It costs per hour, right.",non-humor
3481,"So, our money will get saved.",non-humor
3482,"Yes, the film's budget will also increase, right.",non-humor
3483,Fine fine.,non-humor
3484,So which scene has to be rehearsed today?,non-humor
3485,Love scene.,humor
3486,oh man! Love scene.,humor
3487,"Now, if you have jumped into this field then what is a love scene and what is another scene?",non-humor
3488,You'll adjust to everything.,humor
3489,What is the matter!,non-humor
3490,With whom is my rehearsal?,non-humor
3491,with me.,humor
3492,Who is director?,non-humor
3493,You.,non-humor
3494,"So stay within your limits, won't you.",non-humor
3495,"Come, you come…",non-humor
3496,So you are here…,non-humor
3497,Should I sit?,humor
3498,"No no, lie down.",humor
3499,What!,non-humor
3500,No problem.,non-humor
3501,So the thing is that you are the heroine.,non-humor
3502,That's what I am.,humor
3503,And I am the hero.,non-humor
3504,You the hero!,humor
3505,Think of it like this…,non-humor
3506,It's like this… the hero comes from here.,non-humor
3507,And the heroine comes from here.,humor
3508,"No no, cut cut… the shot has messed up.",non-humor
3509,The heroine comes from here.,non-humor
3510,And the hero comes from here.,non-humor
3511,And does this to the heroine…,non-humor
3512,Does what to the heroine!,non-humor
3513,Oh what is it? You understand anything.,non-humor
3514,I'll tell you. Make your lips like this.,humor
3515,I'll tell you.,non-humor
3516,Make your lips like this.,humor
3517,Inspector.,non-humor
3518,"Eh the inspector comes in the climax, no.",humor
3519,No.,non-humor
3520,He comes a little early in our story. Inspector!,non-humor
3521,"Inspector sir, these rogues, these scoundrels, these. These...",non-humor
3522,Scoundrel!,humor
3523,… these scoundrels,humor
3524,Arrest them immediately and take them away.,non-humor
3525,"Come, come…",non-humor
3526,Cut it! Okay.,humor
3527,Move…,non-humor
3528,"Sir, do not push me…",non-humor
3529,Move…,non-humor
3530,I will give you a present.,non-humor
3531,This is the same Heeralal Motilal,non-humor
3532,"Finished all Heera, finished all Moti.",humor
3533,"And finished his career, man.",non-humor
3534,What did you do to my twenty five thousand?,non-humor
3535,"My, my twenty five thousand…",humor
3536,Gokhale is Koki important? Or your twenty five thousand rupees?,humor
3537,Why are you thinking about this?,humor
3538,No no…,non-humor
3539,"Koki sister, obviously.",non-humor
3540,Then?,non-humor
3541,I will send him abroad.,humor
3542,Come come…,non-humor
3543,"Madam madam, excuse me. Have you seen my Kokila Kulkarni?",non-humor
3544,"Gokhale, where is my Koki? My Koki",non-humor
3545,Hey what do I know?,non-humor
3546,Keshu,non-humor
3547,Koki. Koki. My dear…,non-humor
3548,Hey! What are you doing.,non-humor
3549,Koki.,non-humor
3550,That Hiralal Motilal did not do anything wrong with you did he?,non-humor
3551,"Ew. Conversely, I made him run away.",non-humor
3552,Oh wow! Koki sister,non-humor
3553,You really became the heroine of an action film.,non-humor
3554,"Koki, how did you get rid of those two?",non-humor
3555,Should I tell?,non-humor
3556,I want to learn.Tell me.,non-humor
3557,I'm telling you.,non-humor
3558,Yes.,non-humor
3559,"Sorry, Keshu.",humor
3560,"Sorry, okay.",humor
3561,Koki!,humor
3562,Doll!,non-humor
3563,what is this!,non-humor
3564,Doll!,non-humor
3565,What is this! What is this!,non-humor
3566,"Doll, what have I done? I have done nothing. I am innocent.",non-humor
3567,You have done nothing!,non-humor
3568,Your theft has been caught.,non-humor
3569,"Hey Doll. What theft, what kind of theft?",non-humor
3570,What have I stolen?,non-humor
3571,You have a misconception?,non-humor
3572,I have a misconception?,humor
3573,You have written a love letter to the neighbor,humor
3574,And I am the one who has a misconception!,humor
3575,What have I written? What have I written?,non-humor
3576,"My sweet ""dash dash dash""…",humor
3577,"Who is it? This ""dash dash dash""",humor
3578,"Oh, this. I was practicing, Doll, to write the script of a film.",humor
3579,Oh… film's dialogues are this awful.,humor
3580,"""Yesterday I ate your dumplings and in ther remembrance, I burped all night.""",humor
3581,"""And you kept feeding me dumplings and I kept eating. Burp!""",humor
3582,"I'm not lying, Doll. ",non-humor
3583,I'm still burping. See.,humor
3584,Ew!,humor
3585,Who did you eat dumplings with?,non-humor
3586,With Kalpana.,non-humor
3587,Kalpana?,humor
3588,New affair! Who is this Kalpana?,humor
3589,Kalpana oh god. Kalpana means imagination.,non-humor
3590,Yes… imagination… Kalpana.,non-humor
3591,I had eaten with imagination.,humor
3592,"So, you ate dumplings with imagination.",humor
3593,I find your laughter very sweet.,non-humor
3594,Millions of my births are martyred to each smile of yours.,humor
3595,"Doll, oh god, how I explain to you?",non-humor
3596,The hero says this to the heroine.,non-humor
3597,That I find your laughter very sweet.,non-humor
3598,You know this is the dialogue of a film. Yes.,non-humor
3599,"I know very well, who is the hero of this film",non-humor
3600,And who is the heroine!,humor
3601,Who?,non-humor
3602,I will not tell you.,non-humor
3603,I will tell in the court.,non-humor
3604,Why in the court?,non-humor
3605,Yes! I am going to the lawyer. To give you a divorce.,humor
3606,Divorce!,non-humor
3607,You will give me a divorce? No need to!,non-humor
3608,"Before that, I'll leave this house.",non-humor
3609,I wil leave this house. I am going.,non-humor
3610,Ok fine. Go.,humor
3611,And do not show me your dirty face again. Understood?,non-humor
3612,"Show your my dirty face, my foot.",humor
3613,Get out!,non-humor
3614,Yeah! I am going.,non-humor
3615,"Oh Doll, please stop me won't you.",humor
3616,She is just not stopping me.,humor
3617,What is it?,humor
3618,What is it?,non-humor
3619,You called me?,non-humor
3620,"I call you, my foot!",humor
3621,Get out!,non-humor
3622,Once…,humor
3623,Go!,non-humor
3624,Only once…,humor
3625,Out!,non-humor
3626,Hey!,humor
3627,Go!,non-humor
3628,"Doll, I'm giving you a last chance, okay.",humor
3629,Okay. I will go.,non-humor
3630,I am going out now.,humor
3631,This is…,non-humor
3632,What is it now?,non-humor
3633,"You are regretting, right? No problem. Don't say sorry.",humor
3634,I forgive  you.,humor
3635,shut up!,humor
3636,get out.,non-humor
3637,"If you come again, I wll beat you up with this flower vase.",non-humor
3638,My shoe will come back to this house now!,humor
3639,I am going.,humor
3640,Shutting the door also. Ta ta!,humor
3641,I'm the lawyer! I'm the lawyer,humor
3642,If you say so I'll go and come back later.,humor
3643,"No no lawyer sir, it's good you came.",non-humor
3644,I was going to call you.,non-humor
3645,Me?,non-humor
3646,"Come in, come in.",non-humor
3647,have a seat.,non-humor
3648,"Will it do, ok.",humor
3649,"Sit down, sit down.",non-humor
3650,"So, you have found out everything.",non-humor
3651,What?,non-humor
3652,"So, you do not know.",non-humor
3653,"You grandfather, who had been settled in America for 40 years, he has died.",non-humor
3654,Oh. How old was he?,non-humor
3655,He was 90 years old.,humor
3656,Then it is okay. He's old enough. Ninety years.,humor
3657,He has left one crore rupees in your name.,humor
3658,Grandfather!,humor
3659,My grandfather!,humor
3660,He's gone.,humor
3661,Oh my god!,humor
3662,Hey why are you crying?,non-humor
3663,"He was 90 years old, wasn't he.",humor
3664,What are you talking about lawyer sir?,humor
3665,My grandfather's gone to heaven.,humor
3666,And you are asking me why I am crying?,humor
3667,Sorry ah sorry.,non-humor
3668,How much money did you say?,humor
3669,One crore.,non-humor
3670,"Oh grandfather, I miss you!",humor
3671,I had become so used to you.,humor
3672,When will we meet?,non-humor
3673,"How will you meet now? He has gone, hasn't he.",humor
3674,You will have to die.,humor
3675,I was talking about the money.,non-humor
3676,Oh oh that.,non-humor
3677,You know your cousin… Gurunath ji.,non-humor
3678,He is coming with the will.,non-humor
3679,"He is coming today only from America, to see your house.",non-humor
3680,"Oh. Then, let me clean up the house.",non-humor
3681,"No no, he is not coming to see the cleanliness of your house.",humor
3682,Then what are they coming to see?,non-humor
3683,See your grandfather has kept a condition in the will.,non-humor
3684,What condition did grandfather keep?,non-humor
3685,The condition is that you get Rs 1 crore,non-humor
3686,Only when Gurunath ji has the reassurance,non-humor
3687,That you and your husband live in love,non-humor
3688,Together under one roof.,non-humor
3689,Oh! Oh.,non-humor
3690,"There is no problem in that, lawyer sir.",non-humor
3691,Dil and I love each other a lot.,non-humor
3692,We are very happy together together.,humor
3693,Think of that one crore as mine only.,non-humor
3694,I just met him… Dilruba ji.,humor
3695,"He was saying that he left you, I mean, you left him.",humor
3696,"No. No, you have misunderstood.",non-humor
3697,I have just left Dil to go on a walk outside.,humor
3698,He knows the way. He will return till the evening.,humor
3699,Not to worry at all.,non-humor
3700,See Prema ji,non-humor
3701,Understand one thing,non-humor
3702,If Gurunath ji came to understand this thing even a bit,non-humor
3703,That there is a tension going on between you and your husband,non-humor
3704,"Then, that Rs 1 crore which you were going to get",non-humor
3705,That will go to Gurunath ji.,non-humor
3706,And you will get a thousand ruppees per month.,humor
3707,A thousand rupees per month?,non-humor
3708,"Meanince, convinced?",non-humor
3709,"That too, after cutting TDS.",humor
3710,Oh no no no. I want one crore.,humor
3711,I do not know how and where to bring back Dil?,non-humor
3712,Sir!,non-humor
3713,I do not even think about Prema Shalini.,non-humor
3714,I know.,non-humor
3715,But you help this third class Kulkarni in thinking about her!,humor
3716,"Sir! You are putting the wrong accusation on me, sir!",humor
3717,"Sir sir sir… Gokhale is getting angry. You go from here, sir.",non-humor
3718,I I why should I go?,non-humor
3719,Tell him to go outside and sit at his own table.,non-humor
3720,"And if he's getting this angry, then give him cold water to drink.",non-humor
3721,"If I get angry, then I do not know what I'll make of him.",non-humor
3722,"What will you make of him, sir?",non-humor
3723,Eggplant mash!,humor
3724,One! Two! Three!,humor
3725,How did boss's tie get into my mouth?,humor
3726,You at it yourself.,humor
3727,Oh my my!,humor
3728,"Did I do anything, no right?",humor
3729,You ate a little golgappa.,humor
3730,I?,non-humor
3731,You took a bite of the boss.,humor
3732,"Gokhale, looks like there is still some effect left on you.",non-humor
3733,Look you do not worry do not worry… we'll do a one two three on boss. Okay?,humor
3734,Go give the tie to boss and come.,non-humor
3735,Move!,non-humor
3736,"Hey are you mad, Gokhale? Boss loves animals. Go!",humor
3737,Smart boy!,non-humor
3738,"Chintu, get the onions, son.",non-humor
3739,"Mummy, I want to go to grandma's house.",humor
3740,"Chintu, I explained at least a hundred times yesterday that",non-humor
3741,"We will go to grandma's house in the summer holidays. Now, go.",non-humor
3742,But why in the summer holidays?,non-humor
3743,"Because only then will you get to eat mangoes, son.",non-humor
3744,"Mummy, chikoo will also do.",humor
3745,but I want to go to grandma's house now.,non-humor
3746,"Look, till yesterday, only my mouth was moving.",non-humor
3747,Today my hands will start walking!,humor
3748,I will hit you so much you'll remember your grandma!,non-humor
3749,"I'm missing my grandma only, that's why I want to go to grandma's house!",humor
3750,Oh wake up!,humor
3751,"Hey! Dilruba ji, you!",non-humor
3752,"Yes, I also live here.",humor
3753,You were going somewhere?,non-humor
3754,"Yes, I will go to Doll's shooting and come.",non-humor
3755,Will you walk with me?,non-humor
3756,"No, I am slightly busy. I'll go and come.",non-humor
3757,"Oh, it's a miracle! Normally, you reach the shooting without being called.",humor
3758,"But when I am calling, then I am busy.",non-humor
3759,"Dilruba ji, do you a little time, time?",non-humor
3760,What do I have apart from time and Doll?,humor
3761,So will you please just tell me what' sthe time in this clock/,non-humor
3762,In this clock? - Yes.,humor
3763,"You are playing me… how is this a clock, this is a car.",humor
3764,"You keep watching, you keep watching, you will notice a clock after a little while.",humor
3765,Keep looking.,non-humor
3766,Yes yes this is a clock.,humor
3767,"It is imported, where did you get it from, how much did it cost?",non-humor
3768,"Dilruba ji, your eyes are getting heavy.",humor
3769,You have sit.,non-humor
3770,Now you have slept.,humor
3771,Dilaruba ji now listen to me carefully.,non-humor
3772,You will do what I will say…,humor
3773,You will go to Prema ji's shooting.,non-humor
3774,"There as soon as the director says, ""start sound""",non-humor
3775,You will be charged up!,humor
3776,Good good good good…,non-humor
3777,"As soon as the director says, ""roll camera""",non-humor
3778,You will take position.,humor
3779,A fight sequence position.,humor
3780,"And when the director says, ""action""",non-humor
3781,You will become a freestyle boxer.,humor
3782,"Unless you hear ""cut it cut it cut it""…",non-humor
3783,Till then you will keep hitting the director hitting the director hitting the director!,non-humor
3784,"As soon you hear ""cut it"", you will become normal.",non-humor
3785,One. Two. Three.,non-humor
3786,Hey… How am I sitting here?,non-humor
3787,Oh god! Where was I going?,non-humor
3788,To Prema ji's shooting. I am busy/,humor
3789,"Oh yeah! Mister busy! I am busy! Yes, bye bye",non-humor
3790,Dilruba ji! Action.,non-humor
3791,Cut it! Action!,humor
3792,Cut i!,humor
3793,Bye!,non-humor
3794,"Bye bye, mister busy…",humor
3795,The Dilruba ji rascal is gone today!,non-humor
3796,Koki Koki Koki…,non-humor
3797,oh man! what happened P…,non-humor
3798,Do not call me by my name! Do not call me by my name!,humor
3799,I am tired of dancing and dancing! I cannot do it anymore.,non-humor
3800,Why have you been dancing so much since yesterday?,non-humor
3801,Oh god! Even I don't know why I am dancing so much!,non-humor
3802,Try to remember.,non-humor
3803,I have remembered everything.,non-humor
3804,I cannot remember what to remember!,humor
3805,I do not know what is happening…,non-humor
3806,"Hello, Koki!",non-humor
3807,"Hello, Pinki!",non-humor
3808,"Oh Koki, what has happened to this Pinki?",non-humor
3809,This stupid is dancing for what reason? Ew ew ew…,humor
3810,It seems something has affected her brain.,humor
3811,What? I did not do anything!,humor
3812,"Let's go. Prema ji, are you ready?",non-humor
3813,Ready!,non-humor
3814,Perfect!,non-humor
3815,"Okay, ready! Shambhu, ready, aren't you? Okay…",non-humor
3816,"Hi, Toto! Hi, Dil!",non-humor
3817,"Hi, Dil!",non-humor
3818,You stay a little silent. We are going to do the take.,non-humor
3819,"Yes, sure sure… Looking nice, right?",non-humor
3820,"Yeah, she is looking nice.",non-humor
3821,"Yeah, she is my wie, no?",humor
3822,"I know it, man! Come one, I know.",non-humor
3823,Start sound!,humor
3824,Roll camera!,humor
3825,Cut cut cut cut… what happened? You ok?,non-humor
3826,Yeah I am ok.,non-humor
3827,"Prema ji, he is ok. He is fine.",non-humor
3828,"Ok, ready.",non-humor
3829,"Okay. Mood mood… guys, mood!",non-humor
3830,"Yeah yeah, mood mood… yeah!",non-humor
3831,Start sound!,non-humor
3832,Roll camera! Action!,non-humor
3833,Oh my god!,non-humor
3834,Dil! Dil what are you doing?,non-humor
3835,Dil! What are you doing?,non-humor
3836,C-c-cut….,humor
3837,What happened?,non-humor
3838,"Toto, are you ok?",non-humor
3839,I am not ok!,non-humor
3840,"Sorry sorry, Toto…",non-humor
3841,We will do another take. We will try one more.,non-humor
3842,"Dil, what is this you're doing?",non-humor
3843,What what?,non-humor
3844,"Dil, move back!",non-humor
3845,"Yeah sure… sir, sit please sit…",humor
3846,Come…,non-humor
3847,"Toto Toto, ready. One take more.",non-humor
3848,Come.,non-humor
3849,Sit sit…,non-humor
3850,"Nice she is looking, right?",humor
3851,Yeah…,non-humor
3852,"She is my wife, you know!",humor
3853,We are married.,humor
3854,Start sound!,non-humor
3855,Roll camera! Eh…,non-humor
3856,Ah… pack up pack up pack up pack up….,humor
3857,"I want to go to grandma's house, I want to go to grandma's house. I want to go to grandma's house.",humor
3858,Chintu! Are you now a baby?,non-humor
3859,How many times do I have to explain?,non-humor
3860,"We will go in the summer holidays only, I mean it! Now keep quiet!",non-humor
3861,"Koki Koki, why are you making your own son cry?",non-humor
3862,"Hey he's put up such a strange rote, he wants to go to grandma's house he wants to go to grandma's house!",non-humor
3863,He has gone mad!,humor
3864,"Chintu son, stop crying son. I will make mummy understand, ok?",non-humor
3865,You go there and sleep. Ok?,non-humor
3866,Let us go.,humor
3867,"What's the matter, Koki?",humor
3868,"If he is being so stubborn, then take him and go to his grandma's house.",non-humor
3869,Hey I do not want to go!,non-humor
3870,Here! I have found the first woman,non-humor
3871,Who refuses to go to her mother's.,non-humor
3872,"It is not the season is it. So, I don’t want to go.",non-humor
3873,Season?,non-humor
3874,Do fruits and flowers grow on your mother's head?,humor
3875,Eh!,non-humor
3876,Eh is there any season to go to your mother's house?,non-humor
3877,It is the season only when my mother has money with her.,humor
3878,And the wise fights continue then only.,non-humor
3879,Well! But your mother must have some money with her?,non-humor
3880,"What can be done with a little money, Keshu?",non-humor
3881,"And anyway, I will never go on your saying.",humor
3882,Look at this Koki,non-humor
3883,What is this?,non-humor
3884,You are getting sleepy.,non-humor
3885,"I am anyway sleepy, Keshu.",non-humor
3886,I do not have the disease of insomnia.,humor
3887,"Look here look here keep looking, look carefully Koki.",non-humor
3888,You eyes are getting heavy.,humor
3889,You are getting sleepy.,non-humor
3890,You have slept.,humor
3891,Papa! Papa!,humor
3892,Hey you have only one father. Speak only once.,humor
3893,Papa!,humor
3894,"Yes. Speak, son, speak? Speak, son.",humor
3895,"You have only one son, speak only once.",humor
3896,"Speak, son!",humor
3897,Mummy and I are going to nani's house.,non-humor
3898,True! True? Koki!,non-humor
3899,Koki! What is this I'm hearing? Koki,non-humor
3900,You are also falling into kids' stubbornness,humor
3901,And going to grandma's house?,non-humor
3902,"Keshu, I want to go to mummy's house.",non-humor
3903,"Mummy, I want to go to grandma's house.",non-humor
3904,"Keshu, I want to go to mummy's house.",humor
3905,"Mummy, I want to go to grandma's house.",humor
3906,"Koki, but if you both go, then I will be left here alone, won't I?",humor
3907,"Okay, Keshu, if it is like this then we won't go.",humor
3908,But I want to go to Mummy's house.,non-humor
3909,I want to go to grandma's house.,humor
3910,Okay okay okay… if you people have decided then you can go.,non-humor
3911,There will some spare expenses won't they Keshu?,non-humor
3912,What spare?,humor
3913,What expenses? How much money do you need?,humor
3914,I'll give you money. Okay? A hundred rupees? Two hundred rupees?,non-humor
3915,Five hundred rupees? Five hundred rupees will do. Take this.,non-humor
3916,"Keshu, I want to go to mummy's house.",humor
3917,"Mummy, I want to go to grandma's house.",humor
3918,Five hundred rupees.,non-humor
3919,"Chintu, son!",non-humor
3920,"Speak, papa!",non-humor
3921,"You go to the teacher and tell her you will be busy for fifteen days. Okay son? - Okay, father!",humor
3922,Keshu…,non-humor
3923,I want to go to mummy's home.,humor
3924,Mummy…,non-humor
3925,I want to go to grandma's home.,humor
3926,Let's go let's go let's go let's go…,humor
3927,Quickly quickly quickly…,humor
3928,I have to go to Prema ji's house.,humor
3929,"Yes, Toto. Dil will not come to today's shooting.",humor
3930,I'm coming! I will meet you at he shoot. Bye!,non-humor
3931,"It's a very complicated seating arrangement, Prema ji.",humor
3932,"But it's good. Sit down, sit down…",non-humor
3933,"What's the matter, Prema ji? You mood is not good?",non-humor
3934,it's not good at all!,non-humor
3935,"You know, yesterday Dil came to the set and upset everyone.",humor
3936,Why? What happened?,non-humor
3937,You know what he did?,non-humor
3938,"Yesterday as soon as Toto said, ""action"", he started hitting Toto.",humor
3939,And kept hitting and hitting and hitting and hitting until Toto did not say cut.,non-humor
3940,Why did Toto say cut only?,humor
3941,"Don't tale to me, Keshu ki. I am not at all in the mood to talk.",non-humor
3942,I am not even in the mood to go to the shooting.,non-humor
3943,"But what do I do! Today, the shoot is till twelve o'clock.",non-humor
3944,Prema ji what if I do something so that your mood becomes absolutely fine?,humor
3945,what can you do?,non-humor
3946,"Give me a minute, I have something",non-humor
3947,what is this?,non-humor
3948,See this,non-humor
3949,See what.,non-humor
3950,Look at it… keep looking.,humor
3951,Prema ji Your eyelids are getting heavy.,humor
3952,you are sleepy.,non-humor
3953,You have slept.,humor
3954,Prema ji!,humor
3955,"Now, you will listen to me carefully.",non-humor
3956,And you will do whatever I say.,non-humor
3957,Today you will go for the shooting at the right time.,humor
3958,"At night at ten o'clock, you will remember me wildly",non-humor
3959,"That is, Keshav Kulkarni.",humor
3960,"At the shoot, you will throw the script at Toto's face",non-humor
3961,"And come straight to my house, right at eleven o'clock.",humor
3962,You will come to my house and tell me,non-humor
3963,"""Keshu, my dear Keshu.""",humor
3964,I want to rest in your house.,humor
3965,You just rest. I will manage the rest.,non-humor
3966,One! Two! Three!,non-humor
3967,"Keshu ji, I am feeling so relaxed, that",non-humor
3968,I have no mind to go to the shoot…,humor
3969,Oh my god! I have to go to the shoot! I am getting late!,non-humor
3970,I have to go I have to go….,non-humor
3971,"Come come, give me a lift.",humor
3972,"No no, thing is I… I will make a phone call and come after a while.",non-humor
3973,"So, you- you go, I will come in a while.",non-humor
3974,"Ok, no problem! If you would come with me",non-humor
3975,Then I would get a chance to drop you.,humor
3976,Let's meet at night… bye!,humor
3977,"What are you talking about, Kulkarni? Truly?",non-humor
3978,"One hundred percent true, Gokhale!",non-humor
3979,"Gokhale, to tell the truth I am a little scared.",humor
3980,"What you, even I am a little scared.",non-humor
3981,"Gokhale, you are with me.",non-humor
3982,"Move, are you mad?",non-humor
3983,"If Prema ji saw us, then she'll hit me along with you.",humor
3984,I will not come.,humor
3985,"Oh no no, I will hide you, right.",humor
3986,You stay with me.,non-humor
3987,"Okay, then let's meet at night at eleven o'clock. Bye!",humor
3988,"Gokhale, you stay with me from now.",humor
3989,"Okay, but only if you give me food.",non-humor
3990,But only food.,humor
3991,"Kulkarni, a little little…",non-humor
3992,A little. For courage. A little.,non-humor
3993,A little magic!,humor
3994,Gokhale! Gokhale… Gokhale… Gokhale… Gokhale,non-humor
3995,Prema ji will come here in my house at eleven o'clock.,non-humor
3996,She will come! It is only five hours to strike eleven.,humor
3997,Only five hours to eleven? Is that less?,humor
3998,All this has happened because of you… what was the need to drink?,non-humor
3999,Who took me to the hotel?,humor
4000,Yeah but you were taken to eat.,humor
4001,Not to drink. Idiot!,humor
4002,"Hey, do not make me angry. If I get angry, then…",non-humor
4003,So what? You become a doggy?,humor
4004,"No, this time I will become a dog.",non-humor
4005,"Go go hide, Gokhale.",non-humor
4006,It is time for my doll to come.,non-humor
4007,Who's this doll?,non-humor
4008,My heart's doll!,humor
4009,Prema ji!,humor
4010,Oh!,humor
4011,"Look, look look Gokhale…",humor
4012,"Prema ji is ringing bells ting tong, ting tong in my heart.",humor
4013,Idiot! The doorbell is ringing!,humor
4014,Prema ji has come!,non-humor
4015,"Go go hide, go!",humor
4016,"Hey, the door is here!",non-humor
4017,"Oof I know, idiot! This is my house.",non-humor
4018,I am making a place for you to hide. Go.,humor
4019,Hey… go… go go,non-humor
4020,"Keshu, my dear Keshu!",humor
4021,Prema ji! You here?,non-humor
4022,"Keshu, I was missing you a lot. So I left the shoot",non-humor
4023,And I came here with stifled feet.,humor
4024,Can I relax a bit in your house?,humor
4025,Relax? In my house?,non-humor
4026,Yes.,non-humor
4027,Why?,non-humor
4028,Because Dil is not at home,non-humor
4029,"And alone, my heart gets scared.",humor
4030,"Then, my heart said that I should enter Keshu's heart…",humor
4031,"I mean, I should enter Keshu's house.",non-humor
4032,May I rest?,non-humor
4033,If you feel bad then I'll go.,non-humor
4034,"No no no… Prema ji, this is not a matter of feeling bad.",humor
4035,Where do you want to rest in this house of mine?,non-humor
4036,Bedroom.,non-humor
4037,The bedroom is decorated just for you.,humor
4038,There?,non-humor
4039,"Kulkarni, why are you standing here? Go inside.",non-humor
4040,"How do I go, Gokhale? How do I go? My heart is fluttering.",non-humor
4041,What is it doing? Fluttering.,humor
4042,Fluttering.,humor
4043,No need to be scared. Go in.,humor
4044,Hey i am feeling scared!,humor
4045,What are you feeling?,non-humor
4046,I am feeling scared.,humor
4047,I am feeling scared.,non-humor
4048,"Look the one who is afraid, is dead! ",humor
4049,Go!,non-humor
4050,Go!,non-humor
4051,Prema ji.,non-humor
4052,Prema ji!,non-humor
4053,Have you slept?,non-humor
4054,"No, that's the thing.",non-humor
4055,Then what?,non-humor
4056,I am shy.,humor
4057,"Shyness will not do the trick, Prema ji.",humor
4058,Then what?,non-humor
4059,"Sometime or the other, this curtain between us will need to be removed",humor
4060,"Between us, right?",humor
4061,"Remove it, won't you.",humor
4062,Uh huh.,humor
4063,"Leave it, remove it, won't you.",humor
4064,Uh huh.,humor
4065,"Ok, I will remove it.",humor
4066,Let me have the honours.,non-humor
4067,Keshu ji!,humor
4068,"Prema ji! K-Koki, you!",non-humor
4069,Yes me!,non-humor
4070,"You had gone to your mother's, hadn't you?",non-humor
4071,"I was pretending, pretending, Keshu.",non-humor
4072,That I and Koki ji did together.,non-humor
4073,Meaning?,non-humor
4074,Meaning I suspected you from the first day.,humor
4075,But the suspicion turned into belief when this crystal ball came out of your pocket.,humor
4076,Then… the one I have,non-humor
4077,"Is fake, I changed it.",non-humor
4078,"And with this fake crystal ball, you have hypnotized Koki ji and me.",non-humor
4079,"You'll get an equal punishment, Keshu! Equal!",humor
4080,What is the punishment of this innocent child?,non-humor
4081,From today for the next 7 days you will not be able to see my face nor hear my voice.,humor
4082,"Ok, Prema ji, let's meet on the eighth day.",non-humor
4083,Keshu!,humor
4084,Father…,non-humor
4085,"Speak, son.",non-humor
4086,"Once you're done, cut my nails too.",humor
4087,Hey!,non-humor
4088,What happened?,non-humor
4089,Keshu's ten fingers would have become nine.,humor
4090,What do you mean?,non-humor
4091,"How many times have said, Koki",non-humor
4092,That do not disturb me when I am cutting nails.,non-humor
4093,"Keshu, put some water on my rose plant, won't you.",humor
4094,That is not my work.,non-humor
4095,"Well, fine.",non-humor
4096,"After my death, do not even put Ganga water in my mouth.",non-humor
4097,"Tell people, ""this is not my work"".",humor
4098,Hey no. At that time I will put a bucketful of Ganga water in your mouth.,humor
4099,Oh?,humor
4100,Yes.,non-humor
4101,Oh?,humor
4102,Yes.,non-humor
4103,"Hi, Prema ji!",humor
4104,Prema ji!,non-humor
4105,Where is Prema ji?,non-humor
4106,Why? A little while ago I asked you to water my rose plant,non-humor
4107,You did not come then.,non-humor
4108,"You dropped down as soon as you heard Prema ji's name, yeah?",humor
4109,Bring it bring it. I'll water it. Bring it.,non-humor
4110,There's no need.,humor
4111,"Hi, Koki ji.",humor
4112,Hi.,non-humor
4113,This Dilruba rascal says hi to you like,humor
4114,As if you are his wife in his previous life.,humor
4115,You say hi to Prema ji like ,humor
4116,As if she is your wife in this life.,humor
4117,"How are you, Prema ji?",humor
4118,I am good.,non-humor
4119,Dil!,non-humor
4120,"You do not feel ashamed, standing in our balcony",non-humor
4121,"Meeting the gaze of an outside woman? Hi, Keshu ji.",humor
4122,Hey what is the shame about this?,non-humor
4123,Koki ji and I have been joined since birth.,humor
4124,Is that so?,non-humor
4125,If you do not go inside now,non-humor
4126,Then your join of this life will be broken.,humor
